match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,status,home_xg,away_xg,referee_id,player_of_the_match_id,Total_Goals,Goal_Difference,Match_Result,Match_Year,Match_Month,Home_Team,Away_Team
1,11-06-2026,19:00,1,0,1,2,2,0,Completed,1.84,0.52,1,16,2,0,Home Win,2026,June,Mexico,South Africa
2,11-06-2026,23:00,1,7,3,4,2,1,Completed,1.45,1.12,2,58,3,0,Home Win,2026,June,South Korea,Czechia
3,12-06-2026,19:00,1,6,5,6,1,1,Completed,1.35,0.98,3,112,2,0,Draw,2026,June,Canada,Bosnia and Herzegovina
4,12-06-2026,23:00,1,3,13,14,4,1,Completed,2.76,0.88,4,332,5,0,Home Win,2026,June,USA,Paraguay
5,13-06-2026,15:00,1,10,7,8,1,1,Completed,0.78,1.54,5,157,2,0,Draw,2026,June,Qatar,Switzerland
6,13-06-2026,18:00,1,2,9,10,1,1,Completed,1.62,1.1,6,215,2,0,Draw,2026,June,Brazil,Morocco
7,13-06-2026,21:00,1,14,11,12,0,1,Completed,1.25,0.65,7,293,1,0,Away Win,2026,June,Haiti,Scotland
8,13-06-2026,23:59,1,16,15,16,2,0,Completed,1.48,0.72,8,381,2,0,Home Win,2026,June,Australia,TÃ¼rkiye
9,14-06-2026,15:00,1,9,17,18,7,1,Completed,4.82,0.44,9,423,8,0,Home Win,2026,June,Germany,CuraÃ§ao
10,14-06-2026,18:00,1,15,21,22,2,2,Completed,1.95,1.82,10,524,4,0,Draw,2026,June,Netherlands,Japan
11,14-06-2026,21:00,1,11,19,20,1,0,Completed,1.1,0.95,11,479,1,0,Home Win,2026,June,CÃ´te d'Ivoire,Ecuador
12,14-06-2026,23:59,1,12,23,24,5,1,Completed,3.12,0.78,12,581,6,0,Home Win,2026,June,Sweden,Tunisia
13,15-06-2026,15:00,1,13,29,30,0,0,Completed,2.15,0.35,13,755,0,0,Draw,2026,June,Spain,Cabo Verde
14,15-06-2026,18:00,1,4,25,26,1,1,Completed,1.58,1.12,14,658,2,0,Draw,2026,June,Belgium,Egypt
15,15-06-2026,21:00,1,8,31,32,1,1,Completed,0.85,1.76,15,801,2,0,Draw,2026,June,Saudi Arabia,Uruguay
16,15-06-2026,23:59,1,5,27,28,2,2,Completed,1.88,1.2,16,699,4,0,Draw,2026,June,IR Iran,New Zealand
17,16-06-2026,15:00,1,2,33,34,3,1,Completed,2.44,1.05,1,843,4,0,Home Win,2026,June,France,Senegal
18,16-06-2026,18:00,1,10,35,36,1,4,Completed,0.68,2.85,2,919,5,0,Away Win,2026,June,Iraq,Norway
19,16-06-2026,21:00,1,3,37,38,3,0,Completed,2.65,0.42,3,946,3,0,Home Win,2026,June,Argentina,Algeria
20,16-06-2026,23:59,1,15,39,40,3,1,Completed,1.98,0.88,4,1023,4,0,Home Win,2026,June,Austria,Jordan
