match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,status,home_xg,away_xg,referee_id,player_of_the_match_id,Total_Goals,Goal_Difference,Match_Result,Match_Year,Match_Month,Home_Team,Away_Team,Goal_Category,Winning_Margin,High_Scoring_Match,Home_Attack_Rating,Away_Attack_Rating,Home_Defense_Rating,Away_Defense_Rating,Home_Goal_Efficiency,Away_Goal_Efficiency,Match_Intensity
1,11-06-2026,19:00,1,0,1,2,2.0,0.0,Completed,1.84,0.52,1,16.0,2,0,Home Win,2026,June,Mexico,South Africa,Low Scoring,2.0,No,Average,Poor,Excellent,Good,1.09,0.0,Low
2,11-06-2026,23:00,1,7,3,4,2.0,1.0,Completed,1.45,1.12,2,58.0,3,0,Home Win,2026,June,South Korea,Czechia,Medium Scoring,1.0,No,Average,Poor,Good,Good,1.38,0.89,Medium
3,12-06-2026,19:00,1,6,5,6,1.0,1.0,Completed,1.35,0.98,3,112.0,2,0,Draw,2026,June,Canada,Bosnia and Herzegovina,Low Scoring,0.0,No,Poor,Poor,Good,Good,0.74,1.02,Low
4,12-06-2026,23:00,1,3,13,14,4.0,1.0,Completed,2.76,0.88,4,332.0,5,0,Home Win,2026,June,USA,Paraguay,Medium Scoring,3.0,Yes,Strong,Poor,Good,Weak,1.45,1.14,Medium
5,13-06-2026,15:00,1,10,7,8,1.0,1.0,Completed,0.78,1.54,5,157.0,2,0,Draw,2026,June,Qatar,Switzerland,Low Scoring,0.0,No,Poor,Poor,Good,Good,1.28,0.65,Low
6,13-06-2026,18:00,1,2,9,10,1.0,1.0,Completed,1.62,1.1,6,215.0,2,0,Draw,2026,June,Brazil,Morocco,Low Scoring,0.0,No,Poor,Poor,Good,Good,0.62,0.91,Low
7,13-06-2026,21:00,1,14,11,12,0.0,1.0,Completed,1.25,0.65,7,293.0,1,0,Away Win,2026,June,Haiti,Scotland,Low Scoring,1.0,No,Poor,Poor,Good,Excellent,0.0,1.54,Low
8,13-06-2026,23:59,1,16,15,16,2.0,0.0,Completed,1.48,0.72,8,381.0,2,0,Home Win,2026,June,Australia,TÃ¼rkiye,Low Scoring,2.0,No,Average,Poor,Excellent,Good,1.35,0.0,Low
9,14-06-2026,15:00,1,9,17,18,7.0,1.0,Completed,4.82,0.44,9,423.0,8,0,Home Win,2026,June,Germany,CuraÃ§ao,High Scoring,6.0,Yes,Strong,Poor,Good,Weak,1.45,2.27,High
10,14-06-2026,18:00,1,15,21,22,2.0,2.0,Completed,1.95,1.82,10,524.0,4,0,Draw,2026,June,Netherlands,Japan,Medium Scoring,0.0,No,Average,Average,Good,Good,1.03,1.1,Medium
